File,GT,Gemini,GPT
AD,0.8728482127189636,0.9099137187004089,0.8630322217941284
AF,0.5906410217285156,0.728065550327301,0.6256429553031921
AO,0.9178069829940796,0.9232388138771057,0.9091681838035583
AZE,0.8836281895637512,0.9488329887390137,0.9482380747795105
BF,0.8764180541038513,0.8023734092712402,0.7666911482810974
BG,0.8805577158927917,0.945084273815155,0.7829950451850891
BIH,0.9268556237220764,0.9422087073326111,0.9419305324554443
BI,0.8826566338539124,0.8853715062141418,0.8805677890777588
BJ,0.8687602877616882,0.8792851567268372,0.7739740014076233
BOL,0.8790538907051086,0.8969101309776306,0.8974469304084778
BY,0.9161638617515564,0.8550519943237305,0.9207836985588074
CF,0.86688631772995,0.8880580067634583,0.6280866861343384
CG,0.8549278378486633,0.8838722109794617,0.8789510130882263
CI,0.8851056694984436,0.9042636752128601,0.8981614112854004
CL,0.8609347939491272,0.8486332297325134,0.8693621158599854
CM,0.8704856038093567,0.9056647419929504,0.8969112038612366
COD,0.8801883459091187,0.9017149806022644,0.8197471499443054
CO,0.9011256098747253,0.8993718028068542,0.8960368633270264
CR,0.879507839679718,0.8873264193534851,0.8880450129508972
CU,0.8853551745414734,0.8942422270774841,0.8889958262443542
CV,0.8855117559432983,0.921295166015625,0.8396852612495422
CY,0.9081972241401672,0.937444806098938,0.930349588394165
CZ,0.9154969453811646,0.5879853963851929,0.9522594809532166
DE,0.38623934984207153,0.9263418316841125,0.8933736681938171
DJ,0.8850395679473877,0.8961972594261169,0.8957383036613464
DK,0.8716709017753601,0.9360514283180237,0.9376444816589355
DO,0.866563618183136,0.8860841393470764,0.3834832012653351
DZ,0.9001928567886353,0.9220476746559143,0.8463943600654602
EC,0.850811243057251,0.8717905879020691,0.8579601049423218
EE,0.9293408989906311,0.9625919461250305,0.9603398442268372
EG,0.8708174228668213,0.880616307258606,0.8862956166267395
ES,0.8830310702323914,0.36746087670326233,0.743196964263916
ET,0.6684899926185608,0.8149234056472778,0.22097691893577576
FI,0.538253128528595,0.8564091324806213,0.8551316857337952
FR,0.8918775916099548,0.9034411907196045,0.8855583667755127
GA,0.8609005808830261,0.8971163630485535,0.892313539981842
GE,0.9156522750854492,0.9543653130531311,0.944101095199585
GN,0.8987309336662292,0.8953376412391663,0.8963137269020081
GQ,0.8570871949195862,0.8543152213096619,0.8385927677154541
GR,0.925272524356842,0.9348747134208679,0.7637355923652649
GW,0.820180356502533,0.8117817044258118,0.5018913149833679
HN,0.8707395792007446,0.889587938785553,0.8922355771064758
HR,0.9330194592475891,0.9507548213005066,0.9477041363716125
HU,0.9115573763847351,0.943498432636261,0.9482914805412292
ID,0.929039716720581,0.9385619759559631,0.932061493396759
IL,0.8872451186180115,0.9011507630348206,0.7210175395011902
IQ,0.9296451210975647,0.9118159413337708,0.9284895062446594
IR,0.8485344648361206,0.8872036337852478,0.8841658234596252
IS,0.9234675765037537,0.9257016777992249,0.9213386178016663
IT,0.9055114984512329,0.9131607413291931,0.9146644473075867
JO,0.8749085068702698,0.8890123963356018,0.8842516541481018
KM,0.8998237252235413,0.8991438150405884,0.8929003477096558
KR,0.9427778124809265,0.9426723122596741,0.9446493983268738
KW,0.8695105910301208,0.8629797101020813,0.8627784848213196
LA,0.5804376006126404,0.8893804550170898,0.7553303837776184
LB,0.9038381576538086,0.8855255246162415,0.9052823781967163
LI,0.8518868088722229,0.9152186512947083,0.898898720741272
LT,0.8415337204933167,0.9171016812324524,0.9496862888336182
LU,0.8731369376182556,0.8917862176895142,0.8988026976585388
LV,0.9408205151557922,0.9323367476463318,0.9466083645820618
LY,0.9014368653297424,0.9054049849510193,0.9126672744750977
MA,0.8496339321136475,0.8570781946182251,0.8692000508308411
MD,0.9199725389480591,0.9320961236953735,0.9361297488212585
ME,0.7868285775184631,0.9537205100059509,0.9556495547294617
MG,0.8534029126167297,0.8456273674964905,0.8493462800979614
ML,0.8601804375648499,0.8652274012565613,0.8763228058815002
MR,0.8977155089378357,0.8261175751686096,0.6120105981826782
MV,0.8487581610679626,0.8158282041549683,
MX,0.8543155789375305,0.877903401851654,0.8766024112701416
MZ,0.8788938522338867,0.8912532925605774,0.8456360101699829
NE,0.8747747540473938,0.8887388110160828,0.8849208950996399
NI,0.8764921426773071,0.42471060156822205,0.7787874341011047
NL,0.8734109997749329,0.8692033886909485,
OM,0.8799663186073303,0.8770013451576233,0.8895040154457092
PE,0.8792169094085693,0.8853439688682556,0.9208692312240601
PL,0.9364098906517029,0.9539121985435486,
PT,0.9021801948547363,0.8912379145622253,0.8740823864936829
PY,0.897890567779541,0.9109613299369812,0.9165980219841003
RO,0.907288134098053,0.8643022179603577,0.937709391117096
RS,0.8011713027954102,0.9537929892539978,0.9509260058403015
RU,0.8980833888053894,0.9034484028816223,0.917506754398346
SA,0.9180235862731934,0.8988705277442932,0.9159442186355591
SD,0.888176441192627,0.8809025883674622,0.890847384929657
SI,0.9336825609207153,0.9536619782447815,0.9487781524658203
SK,0.9011514782905579,0.9373640418052673,0.9378056526184082
SM,0.8920055627822876,0.9138510227203369,0.9159372448921204
SN,0.8960335850715637,0.8986172676086426,0.9014871120452881
SO,0.7055342197418213,0.8468989729881287,0.7374085783958435
ST,0.8843522071838379,0.8812823295593262,0.8720524311065674
SV,0.8982862830162048,0.903434157371521,0.9044618010520935
SY,0.8977281451225281,0.8781489729881287,0.9047501683235168
TD,0.869737446308136,0.8888853192329407,0.8929112553596497
TG,0.8395786881446838,0.845143735408783,0.7882339358329773
TJ,0.9232150316238403,0.7547748684883118,0.9480988383293152
TM,0.9520054459571838,0.953851580619812,0.9601866602897644
TN,0.8739084601402283,0.8761864900588989,0.8844611048698425
TR,0.8273881673812866,0.8984125256538391,0.8654026389122009
UA,0.9298619627952576,0.9348593354225159,0.7884998321533203
UY,0.8872948884963989,0.9041643738746643,0.8891444802284241
UZ,0.3901376724243164,0.5327805876731873,0.5695729851722717
VE,0.8961819410324097,0.9109883308410645,0.9013155102729797
VN,0.9354602098464966,0.9462084174156189,0.9476869702339172
YE,0.9008052945137024,0.9090338945388794,0.9094732403755188
